"","Geneid","Ctrl1","Ctrl2","Ctrl3","Ctrl4","SBMA_1","SBMA_2","SBMA_3","SBMA_4","SBMA_5","SBMA_6","SBMA_7","SBMA_8","SBMA_9","ensgene","symbol"
"3172","ENSG00000115520.9",220.569770009819,224.696233582157,221.777217452862,224.168987079285,265.481772129793,355.509698912397,338.345927710325,210.401503101706,219.225482413966,238.432559141674,250.830208079926,207.796625412817,298.851366543357,"ENSG00000115520","COQ10B"
"3173","ENSG00000115524.17",10533.9117710594,10849.0251771971,10416.50169782,10984.0079918965,9246.88382553325,8994.94262894818,9221.12118466887,8651.55988420338,9249.25923302607,9476.59714070036,8728.85805862453,9317.66270613598,8378.87482688286,"ENSG00000115524","SF3B1"
"3174","ENSG00000115525.18",751.643390747867,930.770579501905,481.871293501336,851.907804210198,667.588987640696,386.083294635786,726.594609734563,636.733962177306,810.107844670677,447.444560986846,423.332863438653,542.603114679568,405.473177100499,"ENSG00000115525","ST3GAL5"
"3175","ENSG00000115526.11",183.201649981066,138.462714226477,179.727316694317,210.678002384145,178.599351253601,176.92358110885,252.712368530846,179.583986082008,158.410970017688,175.69632985948,184.05764157694,228.865417142618,146.483385678384,"ENSG00000115526","CHST10"
"3176","ENSG00000115539.14",778.532229235517,843.785739210842,850.493923562165,902.046794003758,846.696745826555,608.754992536111,644.462342102632,943.719424136291,935.165917829942,816.826062146883,531.815283844287,547.900931911552,631.427673767623,"ENSG00000115539","PDCL3"
"3177","ENSG00000115540.15",1681.08724536467,1620.39996416955,1159.26006906089,1975.28550786036,1211.91025458582,1189.45476052331,1279.50062799851,1800.93027022309,1507.17149180372,1185.49377588363,1179.43236678902,1480.10651675576,1122.46780417619,"ENSG00000115540","MOB4"
"3178","ENSG00000115541.11",1039.38860866467,1109.86450726666,911.311747490317,1383.45601937548,851.810701785332,799.482639789876,620.888989865156,974.729723472977,875.694778027255,932.628482492494,790.155322320589,1084.61499927927,990.263553733379,"ENSG00000115541","HSPE1"
"3179","ENSG00000115548.17",1410.96214062544,1234.01929115563,1345.39815196191,1076.36331132892,1579.3814508725,1256.91049014598,1273.52868021512,1381.03899817562,1448.49988888471,1178.92066398097,1293.00196629122,1503.78074052962,1276.11175396553,"ENSG00000115548","KDM3A"
"3180","ENSG00000115556.14",4441.51092077896,4355.52683246696,5830.7063515115,6403.10937563921,3886.39670262725,2232.44862842919,3123.53398466812,3429.92140597248,4593.83523413748,3672.61777925692,2675.80837440657,2397.00116417587,3422.4709364447,"ENSG00000115556","PLCD4"
"3181","ENSG00000115561.16",3092.92275304553,3158.50394438918,3186.00577126431,3458.2711794214,2351.44828177743,2591.35091736806,3213.63854456456,3145.00586731861,3519.32713648021,3266.25923722276,2569.23494501421,2832.38361095326,2080.09829805116,"ENSG00000115561","CHMP3"
"3182","ENSG00000115568.16",577.440321780941,635.234973009944,767.141056547023,674.831968951277,473.106499696576,431.296728131345,523.847510167019,436.993265776868,500.51180102916,512.633852159532,643.418090393159,702.41218769361,553.400458499975,"ENSG00000115568","ZNF142"
"3183","ENSG00000115592.12",3220.32188879953,2853.71535835155,2752.5360152232,4843.78500037206,3103.59079379495,2848.43685267746,1977.62642520949,779.433326226817,1983.76497280017,1709.93599976815,1676.80604844875,633.22165557325,2287.02975343541,"ENSG00000115592","PRKAG3"
"3184","ENSG00000115593.15",16383.1605175554,17689.1283658453,15478.7557586499,17465.8077131691,16607.6988913407,12344.308828891,16002.0613560295,16180.8822907952,18167.2133848809,15688.5148835407,12433.2895032557,14235.3188255837,12784.0092086598,"ENSG00000115593","SMYD1"
"3185","ENSG00000115594.12",587.382476501728,571.727319361097,1083.17368049482,476.044554571466,559.84648925226,901.890023365384,1206.03282772261,754.341772054524,912.553063124789,587.85140965312,814.407029554158,991.053641814016,1075.23214866546,"ENSG00000115594","IL1R1"
"3186","ENSG00000115616.3",312.809270247818,430.487874187857,392.920131113294,255.674476345963,211.456541048339,154.1780899595,137.904398508204,353.661135912566,305.414205350119,290.689170727986,222.734600200604,410.623103966154,343.08451666479,"ENSG00000115616","SLC9A2"
"3187","ENSG00000115641.19",1001.83946570741,1471.53665615105,1259.6022619463,1282.33870988813,1536.72683876623,834.574649775942,1070.15958521028,1650.81027215752,1113.34875759823,787.051465729071,1239.42858130468,1908.03767038964,1056.13053910285,"ENSG00000115641","FHL2"
"3188","ENSG00000115648.14",399.621528945879,374.342522494596,214.379977105083,115.445911306814,122.833091390359,164.436434162576,231.288633043359,281.029395652218,124.769858516919,189.253520147436,177.856724543988,196.235185271759,102.248009700652,"ENSG00000115648","MLPH"
"3189","ENSG00000115649.16",1181.11352061033,1110.8664509492,1269.71239738449,1043.75156837617,1171.44333205088,1112.85328800821,1038.02375073613,1459.21928550289,1085.94736297383,1013.81373295476,1170.29879108302,1518.50326344253,1145.65565713871,"ENSG00000115649","CNPPD1"
"3190","ENSG00000115652.15",612.031253068881,585.746774398574,477.750645018171,692.652589626533,772.01037020153,799.175139714098,712.995263792801,799.927810926519,551.124968427978,728.790583155675,664.815904381058,573.441592788374,671.751177339364,"ENSG00000115652","UXS1"
"3191","ENSG00000115657.14",673.64899146316,650.761922161886,871.992526228004,919.146856503302,783.393810800645,531.057857778565,507.501459212238,451.239952867305,544.502204032085,625.208518969935,562.705929293586,499.135990407104,571.730565282311,"ENSG00000115657","ABCB6"
"3192","ENSG00000115661.14",145.010728733369,190.493116237794,219.320259300857,216.644633609323,199.736182970525,323.750370652498,292.621867118929,152.650138221723,187.550608918867,173.026331026324,205.249149177128,218.870948550995,210.645499649675,"ENSG00000115661","STK16"
